symbol,Ametal,Bmetal,Surface,Crystal System,DFT_ads_E,surface_energy,Cost,activity_score,stability_score,cost_score,asci_score,asci_rank,key,AandB,experimentally_observed,distance_from_optimal
Fe2Sb4,Fe,Sb,111,Orthorhombic,-0.39459594,0.8950870337118576,19.54103666666666,0.1693604000000002,0.7729605637990705,0.812205176446521,0.5871156780455105,147,mp-20714_H_0_111,Fe-Sb,True,0.12459593999999996
Fe2Sb4,Fe,Sb,111,Orthorhombic,-0.22668033,0.978068075445276,19.54103666666666,0.7112022,0.7422165211806391,0.812205176446521,0.7557779379814281,54,mp-20714_H_1_111,Fe-Sb,True,0.043319670000000005
Sb4Ru2,Ru,Sb,111,Orthorhombic,-0.11719895,1.1656839623886563,6771.164353333331,0.0,0.6727058148362622,0.2607566228148127,0.3106501706530029,318,mp-20928_H_4_111,Ru-Sb,True,0.15280105000000002
Co2Sb4,Co,Sb,111,Orthorhombic,-0.28788707,0.925476788589998,30.74097333333332,0.8807528666666666,0.7617013183181721,0.7694804976404697,0.8036332502427566,25,mp-9835_H_0_111,Co-Sb,True,0.017887070000000005
Co2Sb4,Co,Sb,111,Orthorhombic,-0.11799429,0.9529375511879384,30.74097333333332,0.0,0.7515272491812971,0.7694804976404697,0.5096273614275877,197,mp-9835_H_1_111,Co-Sb,True,0.15200571000000002
Fe2Sb4,Fe,Sb,111,Tetragonal,-0.24070503,0.4956042589605582,19.54103666666666,0.8047001999999998,0.9209668456644994,0.812205176446521,0.8456198850611019,8,mp-1072181_H_0_111,Fe-Sb,True,0.02929497000000003
Fe2Sb4,Fe,Sb,111,Tetragonal,-0.33548246,0.4446906230441501,19.54103666666666,0.5634502666666669,0.939830081890214,0.812205176446521,0.7722322750155879,47,mp-1072181_H_2_111,Fe-Sb,True,0.06548245999999996
Mn2Sn4,Mn,Sn,111,Tetragonal,-0.20002387,0.9817795413194864,20.449249999999996,0.5334924666666665,0.7408414424562701,0.8079212477300616,0.6952234142387901,87,mp-20086_H_0_111,Mn-Sn,True,0.06997613000000003
Mn2Sn4,Mn,Sn,111,Tetragonal,-0.17013869,1.0782427095371876,20.449249999999996,0.3342579333333332,0.7051023423818059,0.8079212477300616,0.6176821152142169,128,mp-20086_H_1_111,Mn-Sn,True,0.09986131000000001
Mn2Sn4,Mn,Sn,111,Tetragonal,-0.18710522,0.9243512356025304,20.449249999999996,0.44736813333333314,0.7621183298221632,0.8079212477300616,0.6738237570695348,104,mp-20086_H_2_111,Mn-Sn,True,0.08289478000000003
Mn2Sn4,Mn,Sn,111,Tetragonal,-0.23399633,0.8823831430502391,20.449249999999996,0.7599755333333332,0.7776672889469112,0.8079212477300616,0.7821153555807017,36,mp-20086_H_3_111,Mn-Sn,True,0.036003670000000015
Co2Sn4,Co,Sn,111,Tetragonal,-0.22184664,0.837899625797754,31.66131999999999,0.6789776,0.7941481997870239,0.7666987573477353,0.7468090914279479,56,mp-20155_H_0_111,Co-Sn,True,0.048153360000000006
Co2Sn4,Co,Sn,111,Tetragonal,-0.17701998,0.8027734497268889,31.66131999999999,0.38013319999999984,0.8071622645852764,0.7666987573477353,0.6524850808113711,111,mp-20155_H_2_111,Co-Sn,True,0.09298002000000002
Co2Sn4,Co,Sn,111,Tetragonal,-0.22348949,0.8340814320354135,31.66131999999999,0.6899299333333333,0.7955628206365901,0.7666987573477353,0.7508901863083048,55,mp-20155_H_3_111,Co-Sn,True,0.046510510000000005
Fe2Sn4,Fe,Sn,111,Tetragonal,-0.34644242,0.9164452975652364,20.461383333333327,0.4903838666666669,0.7650474385785716,0.8078653134394425,0.6889665373003392,93,mp-22752_H_0_111,Fe-Sn,True,0.07644241999999996
