key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-1007852_H_0_110,mp-1007852,FeCo3,110,False,"{'Co': 75.0, 'Fe': 25.0}","{'Co': 75.0, 'Fe': 25.0}",Cubic,Pm3m,-0.36669921875,-0.35792077
mp-1224953_H_1_110,mp-1224953,FeCu3,110,False,"{'Cu': 75.0, 'Fe': 25.0}","{'Cu': 75.0, 'Fe': 25.0}",Orthorhombic,Cmmm,-0.3505859375,-0.41777227
mp-1220074_H_0_110,mp-1220074,Ni3Mo,110,False,"{'Mo': 25.0, 'Ni': 75.0}","{'Mo': 25.0, 'Ni': 75.0}",Trigonal,R3m,-0.379638671875,-0.39855588
mp-1224761_H_1_110,mp-1224761,Fe3Pt,110,False,"{'Fe': 75.0, 'Pt': 25.0}","{'Fe': 75.0, 'Pt': 25.0}",Orthorhombic,Cmmm,-0.16357421875,-1.05839728
mp-581786_H_0_110,mp-581786,Cu6Sn2,110,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 80.0, 'Sn': 20.0}",Orthorhombic,Pmmn,-0.232421875,-0.19499465
mp-13138_H_1_110,mp-13138,Cu6Sn2,110,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Hexagonal,P63mmc,-0.23193359375,-0.2038952
mp-1225695_H_1_110,mp-1225695,CuNi,110,False,"{'Cu': 50.0, 'Ni': 50.0}","{'Cu': 50.0, 'Ni': 50.0}",Orthorhombic,Cmmm,-0.376953125,-0.38959974
mp-999543_H_0_110,mp-999543,MnCo3,110,False,"{'Co': 75.0, 'Mn': 25.0}","{'Co': 75.0, 'Mn': 25.0}",Cubic,Pm3m,-0.365966796875,-0.34756857
mp-19856_H_2_210,mp-19856,Sn2Pt2,210,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.240234375,-0.21266746
mp-1187108_H_1_210,mp-1187108,Sn6Ru2,210,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.29541015625,0.26782848
mp-1207123_H_2_210,mp-1207123,Nb2Sb2,210,False,"{'Nb': 50.0, 'Sb': 50.0}","{'Nb': 50.0, 'Sb': 50.0}",Hexagonal,P63mmc,-0.212890625,-0.14633253
mp-20714_H_1_210,mp-20714,Fe2Sb4,210,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.2451171875,-0.20297712
mp-838_H_0_210,mp-838,Cu3Sn,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Cubic,Fm3m,-0.38818359375,-0.05962764
mp-1220420_H_0_210,mp-1220420,NbNi3,210,False,"{'Nb': 25.0, 'Ni': 75.0}","{'Nb': 25.0, 'Ni': 75.0}",Hexagonal,P6m2,-0.373046875,-0.43391512
mp-810_H_1_210,mp-810,Ni2Sb2,210,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 40.0, 'Sb': 60.0}",Hexagonal,P63mmc,-0.22412109375,-0.21695436
mp-22389_H_1_210,mp-22389,Mn6Sn2,210,False,"{'Mn': 75.0, 'Sn': 25.0}","{'Mn': 75.0, 'Sn': 25.0}",Hexagonal,P63mmc,-0.37451171875,-0.10717449
mp-11552_H_0_210,mp-11552,TiPt,210,False,"{'Pt': 50.0, 'Ti': 50.0}","{'Pt': 50.0, 'Ti': 50.0}",Cubic,Pm3m,-0.22412109375,-0.19201672
mp-13138_H_4_210,mp-13138,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 66.66666666666666, 'Sn': 33.33333333333333}",Hexagonal,P63mmc,-0.220703125,-0.21962333
mp-13138_H_5_210,mp-13138,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 66.66666666666666, 'Sn': 33.33333333333333}",Hexagonal,P63mmc,-0.23681640625,-0.20604443
mp-13138_H_2_210,mp-13138,Cu6Sn2,210,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 76.92307692307693, 'Sn': 23.076923076923077}",Hexagonal,P63mmc,-0.280029296875,-0.2511863
mp-19856_H_1_210,mp-19856,Sn2Pt2,210,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 40.0, 'Sn': 60.0}",Hexagonal,P63mmc,-0.1943359375,-0.2223167
mp-20714_H_2_210,mp-20714,Fe2Sb4,210,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.29345703125,-0.2100644
mp-1187108_H_4_210,mp-1187108,Sn6Ru2,210,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.29736328125,1.32726059
mp-1187108_H_3_210,mp-1187108,Sn6Ru2,210,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 16.666666666666664, 'Sn': 83.33333333333334}",Hexagonal,P63mmc,-0.17626953125,0.06412337
mp-1184069_H_0_210,mp-1184069,CuNi,210,False,"{'Cu': 50.0, 'Ni': 50.0}","{'Cu': 50.0, 'Ni': 50.0}",Hexagonal,P6m2,-0.371337890625,-0.35201535
