Unnamed: 0,Slab_Facet_info,bulk_id,in_domain,Ametal,Bmetal,AandB,symbol,Crystal System,Point Group,Bulk_concentration,experimentally_observed,Surface,Surface concentration,Ads. site,nearest_symbols,Eads (eV),Surf. E. (J/m²),Cost ($/kg),distance_from_optimal,activity_score,stability_score,cost_score,asci_score,ASCI Rank
24,Co2Sb4_111_T_0.057,mp-9835,True,Co,Sb,Co-Sb,Co2Sb4,Orthorhombic,Pnnm,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",True,111,"{'Co': 33.33333333333333, 'Sb': 66.66666666666666}",top,['Co'],-0.28788707,0.925476788589998,30.74097333333332,0.01788707,0.8807528666666666,0.7617013183181721,0.7694804976404697,0.8036332502427566,25
25,Sb14Mo6_221_T_0.014,mp-1521,True,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,Im3m,"{'Mo': 30.0, 'Sb': 70.0}",True,221,"{'Mo': 25.0, 'Sb': 75.0}",top,['Mo'],-0.28433442,0.9424318513755218,39.065395,0.0143344199999999,0.9044372000000004,0.7554195560989061,0.7468827755630999,0.8016928732040931,26
26,Cu6Sb2_211_T_0.188,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,211,"{'Cu': 75.0, 'Sb': 25.0}",3-fold,"['Cu', 'Cu', 'Cu']",-0.23134589,0.7823681643252358,15.0918025,0.03865411,0.7423059333333332,0.8147223162660574,0.836568574024049,0.7982526375359756,27
27,Cu6Sb2_110_T_0.003,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,110,"{'Cu': 66.66666666666666, 'Sb': 33.33333333333333}",bridge,"['Cu', 'Cu']",-0.31887671,0.609531294945055,15.0918025,0.0488767099999999,0.6741552666666667,0.8787574737822904,0.836568574024049,0.7968945195163325,28
28,Ni2Sb2_211_T_0.153,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,211,"{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",bridge,"['Ni', 'Ni']",-0.28702265,1.082598086482708,22.50325,0.0170226499999999,0.8865156666666668,0.7034886979681508,0.7988956169806442,0.7963259501029089,29
29,Sb14Mo6_111_B_0.068,mp-1521,True,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,Im3m,"{'Mo': 30.0, 'Sb': 70.0}",True,111,"{'Mo': 28.000000000000004, 'Sb': 72.0}",top,['Mo'],-0.26555459,1.1793411579387292,39.065395,0.00444541,0.970363933333333,0.6676458952056004,0.7468827755630999,0.794483387109302,30
30,Ni2Sb2_210_B_0.056,mp-810,False,Ni,Sb,Ni-Sb,Ni2Sb2,Hexagonal,P63mmc,"{'Ni': 50.0, 'Sb': 50.0}",True,210,"{'Ni': 25.0, 'Sb': 75.0}",bridge,"['Ni', 'Ni']",-0.24526628,0.9797380170082992,22.50325,0.02473372,0.8351085333333332,0.7415978165523117,0.7988956169806442,0.7919376052356819,31
31,Cu6Sb2_221_B_0.000,mp-20900,True,Cu,Sb,Cu-Sb,Cu6Sb2,Orthorhombic,Pmmn,"{'Cu': 75.0, 'Sb': 25.0}",True,221,"{'Cu': 75.0, 'Sb': 25.0}",bridge,"['Cu', 'Cu']",-0.22593418,0.7395150445597525,15.0918025,0.04406582,0.7062278666666666,0.8305991733515015,0.836568574024049,0.7915862383741722,32
32,Sb14Mo6_111_B_0.029,mp-1521,True,Mo,Sb,Mo-Sb,Sb14Mo6,Cubic,Im3m,"{'Mo': 30.0, 'Sb': 70.0}",True,111,"{'Mo': 31.57894736842105, 'Sb': 68.42105263157895}",top,['Mo'],-0.24921452,0.9208718427110844,39.065395,0.02078548,0.8614301333333332,0.7634074267183498,0.7468827755630999,0.7901365385085093,33
33,Ta2Sn6_211_T_0.125,mp-1187261,False,Sn,Ta,Sn-Ta,Ta2Sn6,Hexagonal,P63mmc,"{'Sn': 75.0, 'Ta': 25.0}",False,211,"{'Sn': 75.0, 'Ta': 25.0}",top,['Ta'],-0.31255709,0.2822863957363477,110.6440375,0.0425570899999999,0.7162860666666668,1.0,0.6487105175933896,0.7869359779817526,34
